NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-108 c,0.224011,0.729771,190.323494,
HD 86264 b,6.62738,,1475,0.7
Kepler-266 c,0.0481581,0.347043,107.723601,
Kepler-239 c,0.019783,0.223927,56.228098,
HD 82943 c,1.58936,,219.3,0.425
Kepler-205 c,0.0121773,0.146311,20.306546,
Kepler-319 b,0.0121124,0.145419,4.362705,
Kepler-162 c,0.0273861,0.270319,19.446355,
Kepler-126 c,0.0117926,0.140958,21.869741,
Kepler-384 c,0.00450004,0.100812,45.348269,
iota Hor b,2.04683,,302.8,0.14
HD 37124 d,0.68665,,1862,0.16
HD 192263 b,0.639382,,24.3556,0.055
HD 204313 b,3.50088,,1920.1,0.23
Kepler-212 c,0.0227766,0.244446,31.805174,
Kepler-53 c,0.0299365,0.282556,38.5583038,
Kepler-321 b,0.0130508,0.157909,4.915379,
Kepler-402 d,0.00893492,0.123115,8.921099,
Kepler-339 d,0.00508144,0.10438,10.558345,
Kepler-407 b,0,0.095459,0.6693109,0
TrES-3 b,1.91,1.336,1.30619,0
Kepler-188 b,0.0124398,0.14988,2.061897,
HIP 14810 b,3.87441,,6.673859,0.142483
Kepler-10 c,0.054118,0.209653,45.29485,
HD 90156 b,0.0565295,,49.77,0.31
Kepler-259 c,0.0222169,0.240878,36.924931,
Kepler-304 d,0.0229193,0.245339,9.653471,
Kepler-150 e,0.0290307,0.278348,30.826557,
Kepler-218 c,0.029411,0.280132,44.699576,
Pr 211 b,1.84394,,2.1451,0
Kepler-203 b,0.0205131,0.22928,3.162697,
Kepler-6 b,0.669376,1.323,3.234723,0
Kepler-244 d,0.0175824,0.206084,20.050401,
24 Sex c,1.51716,,910,0.412
Kepler-358 b,0.0224946,0.242662,34.060467,
Kepler-373 c,0.00621274,0.110625,16.725948,
HD 60532 c,2.46312,,604,0.02
Kepler-299 b,0.00769114,0.117763,2.927128,
Kepler-140 c,0.0132614,0.160585,91.353282,
Kepler-23 d,0.0165098,0.196271,15.274299,
Kepler-89 c,0.0641146,0.3937,10.423648,0.43
HD 68988 b,1.79992,,6.27711,0.1249
Kepler-84 b,0.0172355,0.203,8.726,
HAT-P-26 b,0.0586489,0.565,4.234516,0.124
Kepler-292 f,0.0179955,0.209653,20.834237,
Kepler-20 e,0.00175601,0.0773688,6.098493,0
Kepler-296 d,0.0172808,0.203408,19.850242,
HD 149143 b,1.32811,,4.072,0.016
Kepler-62 d,0,0.173812,18.16406,0.0948683
HD 79498 b,1.34632,,1966.1,0.59
Kepler-89 e,0.0986889,0.5978,54.32031,0.019
Kepler-298 d,0.0196646,0.223035,77.473633,
Kepler-269 b,0.019315,0.220359,5.326718,
Kepler-248 b,0.0272098,0.269426,6.308205,
HD 181433 c,0.640416,,962,0.28
70 Vir b,7.46144,,116.6884,0.4007
HD 102365 b,0.0509774,,122.1,0.34
BD -08 2823 b,0.045941,,5.6,0.15
Kepler-160 b,0.0115417,0.13739,4.309427,
CoRoT-11 b,2.34813,1.43,2.99433,0
Kepler-369 c,0.00960182,0.125792,14.871572,
Kepler-142 d,0.0161415,0.192702,41.809118,
Kepler-398 b,0.00225059,0.082969,4.081423,
